,NAME_1,NAME_2,year,ira
0,Abra,Bangued,1992,0.0
1,Abra,Bangued,1993,7.280949
2,Abra,Bangued,1994,10.311497
3,Abra,Bangued,1995,10.311497
4,Abra,Bangued,1996,12.43571
5,Abra,Bangued,1997,15.531566
6,Abra,Bangued,1998,16.796167
7,Abra,Bangued,1999,20.802681
8,Abra,Bangued,2000,25.225384
9,Abra,Bangued,2001,23.405775
10,Abra,Bangued,2002,31.55287748
11,Abra,Bangued,2003,32.407746
12,Abra,Bangued,2004,31.697966
13,Abra,Bangued,2005,34.236094
14,Abra,Bangued,2006,40.059389
15,Abra,Bangued,2007,41.325124
16,Abra,Bangued,2008,51.17913148
17,Abra,Bangued,2009,57.640021
18,Abra,Bangued,2010,61.136243
19,Abra,Bangued,2011,66.107814
20,Abra,Bangued,2012,64.205614
21,Abra,Bangued,2013,68.25489
22,Abra,Bangued,2014,77.222985
23,Abra,Bangued,2015,87.988928
24,Abra,Bangued,2016,96.897952
25,Abra,Bangued,2017,110.452945
26,Abra,Boliney,1992,2.160132
27,Abra,Boliney,1993,0.0
28,Abra,Boliney,1994,5.166973
29,Abra,Boliney,1995,5.675715
30,Abra,Boliney,1996,5.675715
31,Abra,Boliney,1997,5.675715
32,Abra,Boliney,1998,9.834747
33,Abra,Boliney,1999,12.034697
34,Abra,Boliney,2000,14.637636
35,Abra,Boliney,2001,14.833847
36,Abra,Boliney,2002,18.61792163
37,Abra,Boliney,2003,19.11466136
38,Abra,Boliney,2004,18.143668
39,Abra,Boliney,2005,15.541636
40,Abra,Boliney,2006,22.99458659
41,Abra,Boliney,2007,23.631724
42,Abra,Boliney,2008,28.37258427
43,Abra,Boliney,2009,32.013946
44,Abra,Boliney,2010,33.877393
45,Abra,Boliney,2011,36.591124
46,Abra,Boliney,2012,35.367918
47,Abra,Boliney,2013,39.853946
48,Abra,Boliney,2014,45.0561
49,Abra,Boliney,2015,51.421188
50,Abra,Boliney,2016,56.574216
51,Abra,Boliney,2017,63.102672
52,Abra,Bucay,1992,0.0
53,Abra,Bucay,1993,0.0
54,Abra,Bucay,1994,6.888276
55,Abra,Bucay,1995,6.888276
56,Abra,Bucay,1996,6.888276
57,Abra,Bucay,1997,6.888276
58,Abra,Bucay,1998,6.888276
59,Abra,Bucay,1999,13.724563
60,Abra,Bucay,2000,14.904821
61,Abra,Bucay,2001,17.510124
62,Abra,Bucay,2002,18.864933
63,Abra,Bucay,2003,18.83857405
64,Abra,Bucay,2004,18.116384
65,Abra,Bucay,2005,21.335824
66,Abra,Bucay,2006,24.205511
67,Abra,Bucay,2007,25.650552
68,Abra,Bucay,2008,30.146946
69,Abra,Bucay,2009,34.600998
70,Abra,Bucay,2010,36.443134
71,Abra,Bucay,2011,39.359261
72,Abra,Bucay,2012,38.13305
73,Abra,Bucay,2013,42.726816
74,Abra,Bucay,2014,48.180244
75,Abra,Bucay,2015,55.017792
76,Abra,Bucay,2016,60.53497
77,Abra,Bucay,2017,66.609876
78,Abra,Bucloc,1992,1.564905
79,Abra,Bucloc,1993,0.0
80,Abra,Bucloc,1994,3.921072
81,Abra,Bucloc,1995,3.921072
82,Abra,Bucloc,1996,4.502845
83,Abra,Bucloc,1997,5.963232
84,Abra,Bucloc,1998,5.935493
85,Abra,Bucloc,1999,7.934552
86,Abra,Bucloc,2000,9.17040226
87,Abra,Bucloc,2001,9.381451
88,Abra,Bucloc,2002,10.79998705
89,Abra,Bucloc,2003,12.610746
90,Abra,Bucloc,2004,11.898088
91,Abra,Bucloc,2005,12.767355
92,Abra,Bucloc,2006,14.72864231
93,Abra,Bucloc,2007,15.365244
94,Abra,Bucloc,2008,18.39704951
95,Abra,Bucloc,2009,20.80567
96,Abra,Bucloc,2010,21.973197
97,Abra,Bucloc,2011,23.708239
98,Abra,Bucloc,2012,22.889935
99,Abra,Bucloc,2013,25.278828
100,Abra,Bucloc,2014,28.53288
101,Abra,Bucloc,2015,32.51184
102,Abra,Bucloc,2016,35.734824
103,Abra,Bucloc,2017,40.721916
104,Abra,Daguioman,1992,1.823584
105,Abra,Daguioman,1993,0.0
106,Abra,Daguioman,1994,4.198972
107,Abra,Daguioman,1995,4.531092
108,Abra,Daguioman,1996,5.024039
109,Abra,Daguioman,1997,6.332236
110,Abra,Daguioman,1998,6.951021
