affiliation,population,region
Aglipay,17632.0,NCR
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",393.0,NCR
Association of Fundamental Baptist Churches in the Philippines,628.0,NCR
Bible Baptist Church,55840.0,NCR
Bread of Life Ministries,2818.0,NCR
Buddhist,14488.0,NCR
"Cathedral of Praise, Incorporated",1698.0,NCR
Church of Christ,24224.0,NCR
Church of Jesus Christ of the Latter Day Saints,15553.0,NCR
Convention of the Philippine Baptist Church,241.0,NCR
"Crusaders of the Divine Church of Christ, Incorporated",523.0,NCR
Door of Faith,3903.0,NCR
Evangelical Christian Outreach Foundation,7134.0,NCR
Evangelicals (Philippine Council of Evangelical Churches),119140.0,NCR
Faith Tabernacle Church (Living Rock Ministries),361.0,NCR
Good News Christian Churches,1167.0,NCR
Higher Ground Baptist Mission,115.0,NCR
Iglesia Evangelica Unida de Cristo,40.0,NCR
Iglesia ni Cristo,439417.0,NCR
"Iglesia sa Dios Espiritu Santo, Incorporated",11660.0,NCR
International Baptist Missionary Fellowship,457.0,NCR
International One Way Outreach,212.0,NCR
Islam,154840.0,NCR
Jehovah’s Witness,42823.0,NCR
"Jesus is Alive Community, Incorporated",868.0,NCR
Jesus is Lord Church,103920.0,NCR
Love of Christ International Ministries,418.0,NCR
Lutheran Church of the Philippines,601.0,NCR
Miracle Revival Church of the Philippines,258.0,NCR
Missionary Baptist Churches of the Philippines,367.0,NCR
National Council of Churches in the Philippines,10737.0,NCR
Philippine Benevolent Missionaries Association,19.0,NCR
Philippine Ecumenical Christian Church,340.0,NCR
Philippine Good News Ministries,74.0,NCR
Philippine Grace Gospel,955.0,NCR
Philippine Independent Catholic Church,583.0,NCR
Potter’s House Christian Center,282.0,NCR
"Roman Catholic, including Catholic Charismatic",11464837.0,NCR
"Salvation Army, Philippines",636.0,NCR
Seventh Day Adventist,33541.0,NCR
Things to Come,189.0,NCR
UNIDA Evangelical Church,211.0,NCR
"Union Espiritista Cristiana de Filipinas, Incorporated",157.0,NCR
United Church of Christ in the Philippines,3078.0,NCR
"United Pentecostal Church (Philippines), Incorporated",5767.0,NCR
Victory Chapel Christian Fellowship,68520.0,NCR
"Way of Salvation Church, Incorporated",431.0,NCR
Other Baptists,40814.0,NCR
Other Protestants,34341.0,NCR
Other Religious Affiliations,148108.0,NCR
Tribal Religions,2284.0,NCR
None,5304.0,NCR
Not Reported,34306.0,NCR
Aglipay,21915.0,CARAGA
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",27.0,CARAGA
Association of Fundamental Baptist Churches in the Philippines,4030.0,CARAGA
Bible Baptist Church,23599.0,CARAGA
Bread of Life Ministries,279.0,CARAGA
Buddhist,189.0,CARAGA
"Cathedral of Praise, Incorporated",3.0,CARAGA
Church of Christ,19435.0,CARAGA
Church of Jesus Christ of the Latter Day Saints,6512.0,CARAGA
Convention of the Philippine Baptist Church,4.0,CARAGA
"Crusaders of the Divine Church of Christ, Incorporated",14.0,CARAGA
Door of Faith,176.0,CARAGA
Evangelical Christian Outreach Foundation,976.0,CARAGA
Evangelicals (Philippine Council of Evangelical Churches),139032.0,CARAGA
Faith Tabernacle Church (Living Rock Ministries),377.0,CARAGA
Good News Christian Churches,505.0,CARAGA
Higher Ground Baptist Mission,184.0,CARAGA
Iglesia ni Cristo,79667.0,CARAGA
"Iglesia sa Dios Espiritu Santo, Incorporated",852.0,CARAGA
International Baptist Missionary Fellowship,54.0,CARAGA
International One Way Outreach,4382.0,CARAGA
Islam,12355.0,CARAGA
Jehovah’s Witness,20475.0,CARAGA
"Jesus is Alive Community, Incorporated",25.0,CARAGA
Jesus is Lord Church,8000.0,CARAGA
Love of Christ International Ministries,31.0,CARAGA
Lutheran Church of the Philippines,27.0,CARAGA
Miracle Revival Church of the Philippines,486.0,CARAGA
Missionary Baptist Churches of the Philippines,736.0,CARAGA
National Council of Churches in the Philippines,116366.0,CARAGA
Philippine Benevolent Missionaries Association,616.0,CARAGA
Philippine Ecumenical Christian Church,17010.0,CARAGA
Philippine Good News Ministries,7.0,CARAGA
Philippine Grace Gospel,1826.0,CARAGA
Philippine Independent Catholic Church,10172.0,CARAGA
Potter’s House Christian Center,42.0,CARAGA
"Roman Catholic, including Catholic Charismatic",1841900.0,CARAGA
"Salvation Army, Philippines",84.0,CARAGA
Seventh Day Adventist,68181.0,CARAGA
Things to Come,247.0,CARAGA
UNIDA Evangelical Church,34.0,CARAGA
"Union Espiritista Cristiana de Filipinas, Incorporated",302.0,CARAGA
United Church of Christ in the Philippines,29470.0,CARAGA
"United Pentecostal Church (Philippines), Incorporated",25198.0,CARAGA
Victory Chapel Christian Fellowship,1048.0,CARAGA
"Way of Salvation Church, Incorporated",5.0,CARAGA
Other Baptists,8417.0,CARAGA
Other Protestants,13303.0,CARAGA
Other Religious Affiliations,104855.0,CARAGA
Tribal Religions,12645.0,CARAGA
None,589.0,CARAGA
Not Reported,45.0,CARAGA
Aglipay,5849.0,CAR
"Association of Baptist Churches in Luzon, Visayas, and Mindanao",109.0,CAR
Association of Fundamental Baptist Churches in the Philippines,8378.0,CAR
Bible Baptist Church,22100.0,CAR
Bread of Life Ministries,64.0,CAR
Buddhist,188.0,CAR
"Cathedral of Praise, Incorporated",28.0,CAR
Church of Christ,10656.0,CAR
Church of Jesus Christ of the Latter Day Saints,2222.0,CAR
Convention of the Philippine Baptist Church,14.0,CAR
"Crusaders of the Divine Church of Christ, Incorporated",4792.0,CAR
Door of Faith,5.0,CAR
Evangelical Christian Outreach Foundation,747.0,CAR
Evangelicals (Philippine Council of Evangelical Churches),155568.0,CAR
Faith Tabernacle Church (Living Rock Ministries),90.0,CAR
Good News Christian Churches,40.0,CAR
