region,province,municipality,gadm_province,gadm_municipality
ARMM,BASILAN,AKBAR,Basilan,Akbar
ARMM,BASILAN,AL-BARKA,Basilan,Al-Barka
ARMM,BASILAN,HADJI MOHAMMAD AJUL,Basilan,Hadji Mohammad Ajul
ARMM,BASILAN,HADJI MUHTAMAD,Basilan,HADJI MUHTAMAD
ARMM,BASILAN,ISABELA CITY,Basilan,Isabela City
ARMM,BASILAN,LAMITAN CITY,Basilan,Lamitan City
ARMM,BASILAN,LANTAWAN,Basilan,Lantawan
ARMM,BASILAN,MALUSO,Basilan,Maluso
ARMM,BASILAN,SUMISIP,Basilan,Sumisip
ARMM,BASILAN,TABUAN-LASA,Basilan,TABUAN-LASA
ARMM,BASILAN,TIPO-TIPO,Basilan,Tipo-Tipo
ARMM,BASILAN,TUBURAN,Basilan,Tuburan
ARMM,BASILAN,UNGKAYA PUKAN,Basilan,Ungkaya Pukan
ARMM,LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),Lanao del Sur,Bacolod Kalawi
ARMM,LANAO DEL SUR,BALABAGAN,Lanao del Sur,Balabagan
ARMM,LANAO DEL SUR,BALINDONG (WATU),Lanao del Sur,Balindong
ARMM,LANAO DEL SUR,BAYANG,Lanao del Sur,Bayang
ARMM,LANAO DEL SUR,BINIDAYAN,Lanao del Sur,Binidayan
ARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,Lanao del Sur,Buadiposo-Buntong
ARMM,LANAO DEL SUR,BUBONG,Lanao del Sur,Bubong
ARMM,LANAO DEL SUR,BUMBARAN,Lanao del Sur,Bumbaran
ARMM,LANAO DEL SUR,BUTIG,Lanao del Sur,Butig
ARMM,LANAO DEL SUR,CALANOGAS,Lanao del Sur,Calanogas
ARMM,LANAO DEL SUR,DITSAAN-RAMAIN,Lanao del Sur,Ditsaan-Ramain
ARMM,LANAO DEL SUR,GANASSI,Lanao del Sur,Ganassi
ARMM,LANAO DEL SUR,KAPAI,Lanao del Sur,Kapai
ARMM,LANAO DEL SUR,KAPATAGAN,Lanao del Sur,Kapatagan
ARMM,LANAO DEL SUR,LUMBA-BAYABAO (MAGUING),Lanao del Sur,Lumba-Bayabao
ARMM,LANAO DEL SUR,LUMBACA-UNAYAN,Lanao del Sur,Lumbaca Unayan
ARMM,LANAO DEL SUR,LUMBATAN,Lanao del Sur,Lumbatan
ARMM,LANAO DEL SUR,LUMBAYANAGUE,Lanao del Sur,Lumbayanague
ARMM,LANAO DEL SUR,MADALUM,Lanao del Sur,Madalum
ARMM,LANAO DEL SUR,MADAMBA,Lanao del Sur,Madamba
ARMM,LANAO DEL SUR,MAGUING,Lanao del Sur,Maguing
ARMM,LANAO DEL SUR,MALABANG,Lanao del Sur,Malabang
ARMM,LANAO DEL SUR,MARANTAO,Lanao del Sur,Marantao
ARMM,LANAO DEL SUR,MARAWI CITY,Lanao del Sur,Marawi City
ARMM,LANAO DEL SUR,MAROGONG,Lanao del Sur,Marogong
ARMM,LANAO DEL SUR,MASIU,Lanao del Sur,Masiu
ARMM,LANAO DEL SUR,MULONDO,Lanao del Sur,Mulondo
ARMM,LANAO DEL SUR,PAGAYAWAN (TATARIKAN),Lanao del Sur,Pagayawan
ARMM,LANAO DEL SUR,PIAGAPO,Lanao del Sur,Piagapo
ARMM,LANAO DEL SUR,PICONG (SULTAN GUMANDER),Lanao del Sur,Picong
ARMM,LANAO DEL SUR,POONA BAYABAO  (GATA),Lanao del Sur,Poona Bayabao
ARMM,LANAO DEL SUR,PUALAS,Lanao del Sur,Pualas
ARMM,LANAO DEL SUR,SAGUIARAN,Lanao del Sur,Saguiaran
ARMM,LANAO DEL SUR,SULTAN DUMALONDONG,Lanao del Sur,Sultan Dumalondong
ARMM,LANAO DEL SUR,TAGOLOAN,Lanao del Sur,Tagoloan II
ARMM,LANAO DEL SUR,TAMPARAN,Lanao del Sur,Tamparan
ARMM,LANAO DEL SUR,TARAKA,Lanao del Sur,Taraka
ARMM,LANAO DEL SUR,TUBARAN,Lanao del Sur,Tubaran
ARMM,LANAO DEL SUR,TUGAYA,Lanao del Sur,Tugaya
ARMM,LANAO DEL SUR,WAO,Lanao del Sur,Wao
ARMM,MAGUINDANAO,AMPATUAN,Maguindanao,Ampatuan
ARMM,MAGUINDANAO,BARIRA,Maguindanao,Barira
ARMM,MAGUINDANAO,BULDON,Maguindanao,Buldon
ARMM,MAGUINDANAO,BULUAN,Maguindanao,Buluan
ARMM,MAGUINDANAO,COTABATO CITY,Maguindanao,Cotabato City
ARMM,MAGUINDANAO,DATU ABDULLAH SANGKI,Maguindanao,Datu Abdullah Sanki
ARMM,MAGUINDANAO,DATU ANGGAL MIDTIMBANG,Maguindanao,Datu Anggal Midtimbang
