region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION V,Camarines Sur,Nabua,0.0,1st,80111.0,9620.0
REGION VII,Bohol,Candijay,0.0,4th,29043.0,10326.0
REGION III,Bulacan,Pandi,0.0,2nd,66650.0,3120.0
REGION I,La Union,San Juan,0.0,2nd,35098.0,5712.0
REGION X,Misamis Oriental,Villanueva,0.0,2nd,31966.0,4880.0
REGION II,Cagayan,Buguey,0.0,3rd,28455.0,16450.0
ARMM,Sulu,Siasi,0.0,2nd,64229.0,19287.0
REGION V,Camarines Norte,Talisay,0.0,4th,23904.0,3076.0
REGION X,Lanao del Norte,Kolambugan,0.0,4th,26445.0,13455.0
REGION X,Misamis Occidental,Tangub City,1.0,4th Class ,"",16278.0
REGION XII,Sultan Kudarat,Sen. Ninoy Aquino,0.0,3rd,43508.0,32000.0
REGION XIII,Surigao del Norte,Placer,0.0,4th,24600.0,6129.0
REGION IV-A,Laguna,Biñan,1.0,- ,"",4350.0
REGION II,Cagayan,Sanchez-Mira,0.0,3rd,23257.0,19880.0
ARMM,Maguindanao,Pagagawan,0.0,-,31265.0,46110.0
REGION IX,Zamboanga del Norte,Baliguian,0.0,3rd,21190.0,43926.0
REGION X,Misamis Oriental,Laguindingan,0.0,4th,21822.0,4423.0
REGION II,Cagayan,Lasam,0.0,3rd,36994.0,21370.0
ARMM,Lanao del Sur,Pagayawan,0.0,5th,11349.0,21800.0
REGION IV-B,Palawan,Cagayancillo,0.0,6th,7116.0,2639.0
REGION XIII,Surigao del Norte,General Luna,0.0,5th,15014.0,4130.0
REGION VIII,Eastern Samar,Arteche,0.0,3rd,15164.0,16982.0
CAR,Abra,Daguioman,0.0,5th,1715.0,11437.0
REGION I,Ilocos Sur,Nagbukel,0.0,5th,4938.0,4312.0
REGION I,Pangasinan,Sual,0.0,1st,31216.0,13016.0
REGION IV-A,Quezon,Pagbilao,0.0,1st,65996.0,17096.0
REGION I,Ilocos Sur,Santiago,0.0,4th,17958.0,4636.0
REGION III,Zambales,San Marcelino,0.0,1st,31879.0,41686.0
REGION IV-A,Cavite,Maragondon,0.0,3rd,35289.0,16461.0
REGION V,Catanduanes,Viga,0.0,4th,20669.0,15823.0
CAR,Abra,Lacub,0.0,5th,2977.0,29530.0
REGION II,Quirino,Saguday,0.0,5th,14596.0,5550.0
REGION IV-B,Oriental Mindoro,Mansalay,0.0,2nd,51705.0,44662.0
CAR,Benguet,La Trinidad,0.0,1st,107188.0,7004.0
REGION I,Pangasinan,San Carlos City,1.0,3rd Class ,"",16903.0
REGION VI,Capiz,Sigma,0.0,4th,29138.0,10171.0
ARMM,Sulu,Hadji Panglima Tahil,0.0,-,18098.0,18098.0
REGION VI,Iloilo,Lemery,0.0,4th,27441.0,11990.0
CAR,Apayao,Kabugao,0.0,1st,16170.0,93512.0
REGION I,La Union,Caba,0.0,4th,21244.0,4631.0
REGION III,Nueva Ecija,Talavera,0.0,1st,112515.0,14092.0
REGION I,Ilocos Norte,Banna,0.0,4th,19051.0,9273.0
REGION VII,Siquijor,Enrique Villanueva,0.0,5th,5972.0,2860.0
ARMM,Maguindanao,Mangudadatu,0.0,-,14864.0,9816.0
REGION XI,Davao del Sur,Padada,0.0,3rd,25724.0,8300.0
REGION VI,Iloilo,Lambunao,0.0,1st,69023.0,40709.0
REGION VII,Bohol,Mabini,0.0,4th,28174.0,10457.0
REGION IV-A,Cavite,Trece Martires City,1.0,4th Class ,"",3910.0
REGION XII,North Cotabato,Tulunan,0.0,2nd,54884.0,34308.0
REGION III,Pampanga,Magalang,0.0,1st,103597.0,9732.0
REGION VI,Iloilo,Banate,0.0,4th,29543.0,10289.0
REGION I,La Union,Bacnotan,0.0,1st,40307.0,7660.0
REGION XIII,Agusan del Sur,Bayugan City,1.0,5th Class ,"",68877.0
REGION IV-A,Rizal,Binangonan,0.0,1st,249872.0,6634.0
REGION VII,Bohol,San Isidro,0.0,5th,9125.0,6004.0
REGION VI,Aklan,Malinao,0.0,4th,24108.0,18601.0
ARMM,Basilan,Maluso,0.0,4th,33803.0,30414.0
REGION I,Ilocos Sur,Tagudin,0.0,2nd,38122.0,15119.0
REGION XIII,Surigao del Norte,Tagana-An,0.0,5th,15366.0,7729.0
REGION IV-B,Palawan,Balabac,0.0,2nd,35758.0,58160.0
REGION VIII,Samar,Daram,0.0,3rd,41322.0,14026.0
REGION III,Bulacan,Bustos,0.0,2nd,62415.0,6999.0
REGION VI,Iloilo,Oton,0.0,1st,82572.0,8644.0
REGION VII,Cebu,Pinamungahan,0.0,2nd,57997.0,10916.0
REGION VIII,Southern Leyte,Maasin City,1.0,4th Class ,"",21171.0
NIR,Negros Occidental,San Enrique,0.0,4th,23189.0,2884.0
REGION VI,Antique,Culasi,0.0,3rd,39086.0,22856.0
NIR,Negros Occidental,Bacolod City,1.0,1st Class-Special,"",16267.0
REGION IV-A,Quezon,Real,0.0,1st,35189.0,56389.0
REGION XII,North Cotabato,Magpet,0.0,1st,45183.0,75536.0
NIR,Negros Oriental,San Jose,0.0,5th,19098.0,5446.0
REGION IV-A,Laguna,Kalayaan,0.0,3rd,20944.0,4660.0
REGION IX,Zamboanga Sibugay,Siay,0.0,2nd,38229.0,31366.0
NIR,Negros Occidental,Hinigaran,0.0,1st,81925.0,15492.0
REGION IX,Zamboanga del Sur,Kumalarang,0.0,4th,28210.0,15149.0
REGION II,Isabela,Burgos,0.0,4th,22521.0,7310.0
REGION III,Bulacan,Meycauayan City,1.0,3rd Class ,"",3210.0
REGION IV-A,Laguna,Cabuyao,1.0,- ,"",4330.0
REGION III,Zambales,Olongapo City,1.0,1st Class-Special,"",18500.0
REGION XI,Davao Oriental,Banaybanay,0.0,2nd,39121.0,40852.0
REGION II,Cagayan,Abulug,0.0,3rd,30675.0,16260.0
REGION VII,Cebu,Argao,0.0,1st,69503.0,19150.0
REGION VIII,Leyte,Pastrana,0.0,5th,16649.0,8635.0
REGION I,La Union,Sudipen,0.0,4th,16531.0,9759.0
REGION III,Pampanga,San Fernando City,1.0,1st Class-Special,"",6774.0
REGION XI,Davao Oriental,Caraga,0.0,1st,36912.0,64270.0
REGION VIII,Northern Samar,Victoria,0.0,5th,13920.0,18670.0
REGION V,Camarines Sur,Camaligan,0.0,5th,22254.0,468.0
REGION VII,Bohol,Calape,0.0,3rd,30146.0,7536.0
REGION VII,Cebu,Naga City,1.0,- ,"",10197.0
REGION XI,Davao Oriental,Cateel,0.0,2nd,38579.0,54556.0
REGION VIII,Northern Samar,Palapag,0.0,3rd,33453.0,17960.0
REGION XIII,Surigao del Sur,Tagbina,0.0,2nd,34812.0,34349.0
REGION I,Pangasinan,Manaoag,0.0,1st,64578.0,5595.0
REGION VII,Cebu,Cebu City,1.0,1st Class-Special,"",31500.0
REGION II,Cagayan,Amulung,0.0,2nd,45182.0,24220.0
REGION X,Misamis Occidental,Tudela,0.0,4th,27371.0,9852.0
OAV,ASIA,MALAYSIA,-1.0,"","",""
REGION X,Misamis Occidental,Jimenez,0.0,3rd,25234.0,8143.0
REGION V,Catanduanes,Pandan,0.0,4th,19393.0,11990.0
REGION VII,Bohol,Guindulman,0.0,4th,31789.0,17917.0
REGION VII,Cebu,Bogo City,1.0,6th Class ,"",10352.0
REGION I,Ilocos Norte,Pasuquin,0.0,3rd,27952.0,21054.0
REGION V,Camarines Sur,Naga City,1.0,2nd Class ,"",8448.0
REGION VII,Cebu,Lapu-Lapu City,1.0,1st Class-Special,"",5810.0
REGION VIII,Leyte,San Miguel,0.0,4th,17561.0,14511.0
ARMM,Basilan,Akbar,0.0,-,13369.0,18201.0
REGION IV-B,Oriental Mindoro,Roxas,0.0,2nd,49854.0,8526.0
REGION III,Tarlac,Gerona,0.0,1st,83084.0,12889.0
REGION V,Masbate,Aroroy,0.0,1st,76139.0,44030.0
REGION V,Albay,Daraga,0.0,1st,115804.0,11864.0
REGION IV-B,Palawan,Magsaysay,0.0,5th,11965.0,4948.0
REGION VIII,Leyte,Tanauan,0.0,2nd,50119.0,7841.0
REGION XI,Davao del Sur,Don Marcelino,0.0,3rd,41942.0,40730.0
REGION XIII,Dinagat Islands,Libjo,0.0,5th,17567.0,18057.0
REGION VIII,Southern Leyte,San Francisco,0.0,5th,12528.0,6860.0
ARMM,Maguindanao,Datu Paglas,0.0,4th,20290.0,13210.0
OAV,ASIA,REPUBLIC OF SINGAPORE,-1.0,"","",""
REGION III,Bataan,Dinalupihan,0.0,1st,97275.0,9252.0
REGION IV-A,Quezon,Perez,0.0,5th,12039.0,5746.0
REGION III,Bulacan,San Ildefonso,0.0,1st,95000.0,12871.0
REGION VI,Guimaras,San Lorenzo,0.0,5th,24032.0,9304.0
REGION XI,Davao Oriental,Mati City,1.0,5th Class ,"",58863.0
REGION XII,North Cotabato,Midsayap,0.0,1st,134170.0,29042.0
REGION I,Pangasinan,Santa Maria,0.0,4th,31091.0,6950.0
REGION VI,Iloilo,Barotac Viejo,0.0,3rd,41470.0,18578.0
REGION III,Zambales,Iba,0.0,2nd,46761.0,15338.0
REGION III,Nueva Ecija,Nampicuan,0.0,5th,13303.0,5260.0
REGION XIII,Surigao del Norte,Burgos,0.0,6th,4058.0,1927.0
REGION VIII,Biliran,Biliran,0.0,5th,16183.0,7030.0
ARMM,Lanao del Sur,Poona Bayabao,0.0,4th,19229.0,24234.0
REGION VII,Bohol,Catigbian,0.0,4th,22686.0,11333.0
REGION II,Isabela,Naguilian,0.0,4th,29491.0,16981.0
REGION X,Misamis Occidental,Sapang Dalaga,0.0,5th,19431.0,9393.0
REGION V,Sorsogon,Prieto Diaz,0.0,5th,20478.0,4907.0
ARMM,Sulu,Kalingalan Caluang,0.0,5th,26848.0,16650.0
REGION VIII,Biliran,Culaba,0.0,5th,12252.0,7342.0
REGION II,Cagayan,Santo Niño,0.0,2nd,26126.0,51290.0
REGION IV-B,Palawan,Dumaran,0.0,3rd,21397.0,43500.0
REGION X,Misamis Occidental,Ozamis City,1.0,3rd Class ,"",16995.0
REGION VII,Cebu,Consolacion,0.0,1st,106649.0,14720.0
NIR,Negros Occidental,Sagay City,1.0,3rd Class ,"",33034.0
REGION XI,Compostela Valley,New Bataan,0.0,1st,47470.0,55315.0
OAV,MIDDLE EAST AND AFRICAS,STATE OF QATAR,-1.0,"","",""
REGION V,Albay,Malilipot,0.0,4th,35567.0,4413.0
REGION II,Isabela,Dinapigue,0.0,1st,5484.0,57440.0
REGION XIII,Agusan del Sur,Loreto,0.0,1st,39474.0,146274.0
REGION XIII,Surigao del Norte,Bacuag,0.0,5th,13211.0,9585.0
REGION IV-B,Palawan,Linapacan,0.0,5th,14180.0,19544.0
REGION XIII,Surigao del Norte,Surigao City,1.0,3rd Class ,"",24530.0
REGION II,Nueva Vizcaya,Kasibu,0.0,3rd,33379.0,31880.0
REGION II,Isabela,San Agustin,0.0,3rd,21797.0,27840.0
ARMM,Maguindanao,Datu Odin Sinsuat,0.0,-,76332.0,46180.0
REGION VI,Iloilo,Igbaras,0.0,3rd,31347.0,14872.0
ARMM,Lanao del Sur,Pualas,0.0,5th,11163.0,18289.0
REGION I,Pangasinan,Malasiqui,0.0,1st,123566.0,13137.0
REGION III,Tarlac,Ramos,0.0,5th,20249.0,2440.0
REGION IV-B,Romblon,Odiongan,0.0,2nd,43676.0,18567.0
REGION II,Cagayan,Allacapan,0.0,3rd,31662.0,30680.0
REGION III,Nueva Ecija,Gapan City,1.0,4th Class ,"",16305.0
CAR,Abra,Malibcong,0.0,5th,3807.0,28317.0
REGION XIII,Dinagat Islands,Loreto,0.0,4th,8920.0,25587.0
REGION XI,Davao del Norte,New Corella,0.0,2nd,50699.0,26312.0
REGION VII,Cebu,Dalaguete,0.0,1st,63239.0,15496.0
REGION VI,Aklan,Makato,0.0,4th,25461.0,6460.0
REGION XI,Davao Oriental,San Isidro,0.0,4th,32424.0,22044.0
REGION II,Isabela,Reina Mercedes,0.0,4th,23497.0,5714.0
