precinct_code,registered_voters,ballots_cast,is_city,income_class,population,land_area
55170026,592,503,0.0,1st,91109.0,4836.0
55170027,526,458,0.0,1st,91109.0,4836.0
55170023,723,649,0.0,1st,91109.0,4836.0
55170022,768,650,0.0,1st,91109.0,4836.0
55170025,787,662,0.0,1st,91109.0,4836.0
55170024,746,647,0.0,1st,91109.0,4836.0
55170002,600,531,0.0,1st,91109.0,4836.0
55170001,520,471,0.0,1st,91109.0,4836.0
55170056,750,650,0.0,1st,91109.0,4836.0
55170057,692,614,0.0,1st,91109.0,4836.0
55170058,524,465,0.0,1st,91109.0,4836.0
55170037,446,385,0.0,1st,91109.0,4836.0
55170035,486,433,0.0,1st,91109.0,4836.0
55170034,585,514,0.0,1st,91109.0,4836.0
55170036,502,439,0.0,1st,91109.0,4836.0
55170051,537,450,0.0,1st,91109.0,4836.0
55170050,715,638,0.0,1st,91109.0,4836.0
55170052,526,472,0.0,1st,91109.0,4836.0
55170049,653,563,0.0,1st,91109.0,4836.0
55170083,633,551,0.0,1st,91109.0,4836.0
55170082,690,625,0.0,1st,91109.0,4836.0
55170084,547,495,0.0,1st,91109.0,4836.0
55170085,636,556,0.0,1st,91109.0,4836.0
55170046,512,436,0.0,1st,91109.0,4836.0
55170045,584,516,0.0,1st,91109.0,4836.0
55170044,648,587,0.0,1st,91109.0,4836.0
55170055,767,658,0.0,1st,91109.0,4836.0
55170053,784,716,0.0,1st,91109.0,4836.0
55170054,796,681,0.0,1st,91109.0,4836.0
55170015,627,561,0.0,1st,91109.0,4836.0
55170014,535,483,0.0,1st,91109.0,4836.0
55170013,644,588,0.0,1st,91109.0,4836.0
55170003,357,288,0.0,1st,91109.0,4836.0
55170004,383,332,0.0,1st,91109.0,4836.0
55170075,800,705,0.0,1st,91109.0,4836.0
55170073,797,672,0.0,1st,91109.0,4836.0
55170076,777,659,0.0,1st,91109.0,4836.0
55170074,797,691,0.0,1st,91109.0,4836.0
55170072,775,663,0.0,1st,91109.0,4836.0
55170079,746,652,0.0,1st,91109.0,4836.0
55170081,460,406,0.0,1st,91109.0,4836.0
55170080,552,494,0.0,1st,91109.0,4836.0
55170005,798,733,0.0,1st,91109.0,4836.0
