candidate,date,percentage
Bam Aquino,2014-03-26,3.0
Kris Aquino,2014-03-26,5.0
Alan Peter Cayetano,2014-03-26,6.0
JV Ejercito,2014-03-26,2.0
Francis Escudero,2014-03-26,20.0
Jinggoy Estrada,2014-03-26,4.0
Panfilo Lacson,2014-03-26,5.0
Bongbong Marcos,2014-03-26,5.0
Grace Poe,2014-03-26,24.0
Bong Revilla,2014-03-26,3.0
Leni Robredo,2014-03-26,1.0
Mar Roxas,2014-03-26,8.0
Vilma Santos,2014-03-26,5.0
Antonio Trillanes,2014-03-26,7.0
Others,2014-03-26,0.3
Refused,2014-03-26,0.2
Don't know,2014-03-26,0.3
Alan Peter Cayetano,2014-07-06,14.0
Franklin Drilon,2014-07-06,5.0
Francis Escudero,2014-07-06,22.0
Jinggoy Estrada,2014-07-06,5.0
Bongbong Marcos,2014-07-06,8.0
Grace Poe,2014-07-06,26.0
Bong Revilla,2014-07-06,4.0
Leni Robredo,2014-07-06,1.0
Vilma Santos,2014-07-06,4.0
Antonio Trillanes,2014-07-06,6.0
Others,2014-07-06,1.0
Refused,2014-07-06,1.0
Don't know,2014-07-06,1.0
None,2014-07-06,1.0
Alan Peter Cayetano,2014-09-15,9.0
Franklin Drilon,2014-09-15,5.0
Francis Escudero,2014-09-15,19.0
Jinggoy Estrada,2014-09-15,5.0
Bongbong Marcos,2014-09-15,6.0
Grace Poe,2014-09-15,31.0
Bong Revilla,2014-09-15,3.0
Leni Robredo,2014-09-15,3.0
Vilma Santos,2014-09-15,6.0
Antonio Trillanes,2014-09-15,7.0
Alan Peter Cayetano,2014-11-20,13.0
Franklin Drilon,2014-11-20,6.0
Francis Escudero,2014-11-20,20.0
Jinggoy Estrada,2014-11-20,5.0
Win Gatchalian,2014-11-20,0.3
Bongbong Marcos,2014-11-20,8.0
Grace Poe,2014-11-20,33.0
Bong Revilla,2014-11-20,3.0
Leni Robredo,2014-11-20,1.0
Antonio Trillanes,2014-11-20,8.0
Others,2014-11-20,1.0
Don't know,2014-11-20,1.0
None,2014-11-20,2.0
Alan Peter Cayetano,2015-03-07,13.0
Franklin Drilon,2015-03-07,3.0
Rodrigo Duterte,2015-03-07,11.0
Francis Escudero,2015-03-07,16.0
Jinggoy Estrada,2015-03-07,4.0
Bongbong Marcos,2015-03-07,11.0
Grace Poe,2015-03-07,29.0
Bong Revilla,2015-03-07,2.0
Leni Robredo,2015-03-07,0.4
Antonio Trillanes,2015-03-07,6.0
Others,2015-03-07,1.0
Refused,2015-03-07,0.2
Don't know,2015-03-07,1.0
None,2015-03-07,2.0
Jejomar Binay,2015-03-23,7.0
Alan Peter Cayetano,2015-03-23,3.0
Miriam Defensor Santiago,2015-03-23,5.0
Rodrigo Duterte,2015-03-23,4.0
Francis Escudero,2015-03-23,6.0
Jinggoy Estrada,2015-03-23,0.6
Joseph Estrada,2015-03-23,3.0
Panfilo Lacson,2015-03-23,1.6
Loren Legarda,2015-03-23,1.7
Bongbong Marcos,2015-03-23,3.0
Grace Poe,2015-03-23,26.0
Mar Roxas,2015-03-23,12.0
Vilma Santos,2015-03-23,0.6
Antonio Trillanes,2015-03-23,3.0
Others,2015-03-23,5.0
None,2015-03-23,7.0
Alan Peter Cayetano,2015-05-18,11.0
Rodrigo Duterte,2015-05-18,11.0
Francis Escudero,2015-05-18,16.0
Joseph Estrada,2015-05-18,7.0
Panfilo Lacson,2015-05-18,7.0
Bongbong Marcos,2015-05-18,5.0
Grace Poe,2015-05-18,23.0
Vilma Santos,2015-05-18,5.0
Antonio Trillanes,2015-05-18,6.0
Jejomar Binay,2015-05-23,6.8
Miriam Defensor Santiago,2015-05-23,1.9
Francis Escudero,2015-05-23,2.5
Grace Poe,2015-05-23,15.9
Mar Roxas,2015-05-23,5.1
Others,2015-05-23,7.8
Refused,2015-05-23,13.0
Don't know,2015-05-23,0.2
None,2015-05-23,60.0
Alan Peter Cayetano,2015-06-05,12.0
Rodrigo Duterte,2015-06-05,9.0
Francis Escudero,2015-06-05,15.0
Panfilo Lacson,2015-06-05,6.0
Bongbong Marcos,2015-06-05,9.0
Grace Poe,2015-06-05,41.0
Leni Robredo,2015-06-05,1.0
Antonio Trillanes,2015-06-05,5.0
Others,2015-06-05,1.0
Refused,2015-06-05,1.0
None,2015-06-05,0.3
Jejomar Binay,2015-06-08,7.0
Alan Peter Cayetano,2015-06-08,2.0
Miriam Defensor Santiago,2015-06-08,2.0
Rodrigo Duterte,2015-06-08,3.0
Francis Escudero,2015-06-08,7.0
Joseph Estrada,2015-06-08,3.0
Panfilo Lacson,2015-06-08,3.0
Loren Legarda,2015-06-08,1.4
Bongbong Marcos,2015-06-08,1.0
Isko Moreno,2015-06-08,0.7
Manny Pacquiao,2015-06-08,0.5
Grace Poe,2015-06-08,21.0
Bong Revilla,2015-06-08,0.7
Mar Roxas,2015-06-08,12.0
Vilma Santos,2015-06-08,1.0
Antonio Trillanes,2015-06-08,1.1
Refused,2015-06-08,22.0
None,2015-06-08,8.0
Francis Escudero,2015-08-18,21.36
Bongbong Marcos,2015-08-18,11.82
Grace Poe,2015-08-18,36.01
Lito Atienza,2015-09-05,0.9
Jejomar Binay,2015-09-05,24.0
Alan Peter Cayetano,2015-09-05,5.0
Rodrigo Duterte,2015-09-05,9.0
Francis Escudero,2015-09-05,20.0
Jinggoy Estrada,2015-09-05,2.0
Joseph Estrada,2015-09-05,7.0
Panfilo Lacson,2015-09-05,3.0
Loren Legarda,2015-09-05,5.0
Bongbong Marcos,2015-09-05,7.0
Grace Poe,2015-09-05,27.0
Leni Robredo,2015-09-05,3.0
Vilma Santos,2015-09-05,4.0
Antonio Trillanes,2015-09-05,4.0
Others,2015-09-05,3.0
Refused,2015-09-05,3.0
Benigno Aquino III,2015-09-15,6.0
Alan Peter Cayetano,2015-09-15,9.0
Francis Escudero,2015-09-15,23.0
Joseph Estrada,2015-09-15,4.0
Kim Henares,2015-09-15,0.1
Panfilo Lacson,2015-09-15,5.0
Bongbong Marcos,2015-09-15,13.0
Francis Pangilinan,2015-09-15,2.0
Grace Poe,2015-09-15,24.0
Leni Robredo,2015-09-15,3.0
Vilma Santos,2015-09-15,5.0
Antonio Trillanes,2015-09-15,4.0
Others,2015-09-15,1.0
Alan Peter Cayetano,2015-11-05,11.9
Francis Escudero,2015-11-05,38.1
Gringo Honasan,2015-11-05,5.94
Bongbong Marcos,2015-11-05,18.7
Leni Robredo,2015-11-05,13.65
Antonio Trillanes,2015-11-05,5.38
Undecided/None,2015-11-05,6.33
Alan Peter Cayetano,2015-11-27,18.25
Francis Escudero,2015-11-27,28.49
Gringo Honasan,2015-11-27,6.11
Bongbong Marcos,2015-11-27,24.62
Leni Robredo,2015-11-27,12.53
Antonio Trillanes,2015-11-27,7.75
Undecided/None,2015-11-27,2.25
Albert Alba,2015-12-11,0.3
Alan Peter Cayetano,2015-12-11,18.0
Francis Escudero,2015-12-11,29.0
Gringo Honasan,2015-12-11,9.0
Bongbong Marcos,2015-12-11,23.0
Leni Robredo,2015-12-11,11.0
Antonio Trillanes,2015-12-11,4.0
Others,2015-12-11,0.34
Refused,2015-12-11,0.1
Don't know,2015-12-11,1.0
Undecided/None,2015-12-11,1.0
Alan Peter Cayetano,2015-12-12,18.0
Francis Escudero,2015-12-12,33.0
Gringo Honasan,2015-12-12,6.0
Bongbong Marcos,2015-12-12,19.0
Leni Robredo,2015-12-12,19.0
Antonio Trillanes,2015-12-12,7.0
Undecided/None,2015-12-12,5.0
Albert Alba,2015-12-14,0.8
Alan Peter Cayetano,2015-12-14,17.0
Francis Escudero,2015-12-14,30.0
Gringo Honasan,2015-12-14,8.0
Bongbong Marcos,2015-12-14,19.0
Leni Robredo,2015-12-14,14.0
Antonio Trillanes,2015-12-14,5.0
Others,2015-12-14,0.64
Refused,2015-12-14,1.0
Undecided/None,2015-12-14,2.52
Alan Peter Cayetano,2016-01-14,17.36
Francis Escudero,2016-01-14,32.14
Gringo Honasan,2016-01-14,6.32
Bongbong Marcos,2016-01-14,21.6
Leni Robredo,2016-01-14,14.06
Antonio Trillanes,2016-01-14,6.01
Don't know,2016-01-14,1.0
Undecided/None,2016-01-14,2.0
Albert Alba,2016-01-10,1.0
Alan Peter Cayetano,2016-01-10,14.0
Francis Escudero,2016-01-10,28.0
Gringo Honasan,2016-01-10,8.0
Bongbong Marcos,2016-01-10,25.0
Leni Robredo,2016-01-10,17.0
Antonio Trillanes,2016-01-10,3.0
Others,2016-01-10,2.3
Refused,2016-01-10,2.0
Alan Peter Cayetano,2016-01-28,14.0
Francis Escudero,2016-01-28,33.0
Gringo Honasan,2016-01-28,5.0
Bongbong Marcos,2016-01-28,23.0
Leni Robredo,2016-01-28,18.0
Antonio Trillanes,2016-01-28,4.0
Refused,2016-01-28,0.3
Undecided/None,2016-01-28,2.0
Alan Peter Cayetano,2016-02-04,15.0
Francis Escudero,2016-02-04,31.0
Gringo Honasan,2016-02-04,5.0
Bongbong Marcos,2016-02-04,25.0
Leni Robredo,2016-02-04,20.0
Antonio Trillanes,2016-02-04,4.0
Alan Peter Cayetano,2016-02-07,16.0
Francis Escudero,2016-02-07,26.0
Gringo Honasan,2016-02-07,6.0
Bongbong Marcos,2016-02-07,26.0
Leni Robredo,2016-02-07,19.0
Antonio Trillanes,2016-02-07,5.0
Alan Peter Cayetano,2016-02-13,14.8
Francis Escudero,2016-02-13,26.8
Gringo Honasan,2016-02-13,5.5
Bongbong Marcos,2016-02-13,25.1
Leni Robredo,2016-02-13,18.8
Antonio Trillanes,2016-02-13,6.2
Undecided/None,2016-02-13,2.7
Alan Peter Cayetano,2016-02-20,12.0
Francis Escudero,2016-02-20,29.0
Gringo Honasan,2016-02-20,4.0
Bongbong Marcos,2016-02-20,26.0
Leni Robredo,2016-02-20,19.0
Antonio Trillanes,2016-02-20,6.0
Undecided/None,2016-02-20,3.0
Alan Peter Cayetano,2016-02-27,13.0
Francis Escudero,2016-02-27,26.0
Gringo Honasan,2016-02-27,6.0
Bongbong Marcos,2016-02-27,26.0
Leni Robredo,2016-02-27,18.0
Antonio Trillanes,2016-02-27,5.0
Refused,2016-02-27,2.0
Don't know,2016-02-27,2.0
Undecided/None,2016-02-27,2.0
Alan Peter Cayetano,2016-03-01,11.0
Francis Escudero,2016-03-01,30.0
Gringo Honasan,2016-03-01,4.0
Bongbong Marcos,2016-03-01,24.0
Leni Robredo,2016-03-01,20.0
Antonio Trillanes,2016-03-01,7.0
Undecided/None,2016-03-01,5.0
Alan Peter Cayetano,2016-03-06,14.0
Francis Escudero,2016-03-06,25.0
Gringo Honasan,2016-03-06,5.0
Bongbong Marcos,2016-03-06,22.0
Leni Robredo,2016-03-06,21.0
Antonio Trillanes,2016-03-06,6.0
Undecided/None,2016-03-06,6.0
Alan Peter Cayetano,2016-03-07,11.0
Francis Escudero,2016-03-07,28.0
Gringo Honasan,2016-03-07,5.0
Bongbong Marcos,2016-03-07,26.0
Leni Robredo,2016-03-07,24.0
Antonio Trillanes,2016-03-07,6.0
Undecided/None,2016-03-07,2.0
Alan Peter Cayetano,2016-03-13,13.0
Francis Escudero,2016-03-13,24.0
Gringo Honasan,2016-03-13,5.0
Bongbong Marcos,2016-03-13,25.0
Leni Robredo,2016-03-13,20.0
Antonio Trillanes,2016-03-13,6.0
Undecided/None,2016-03-13,6.0
Alan Peter Cayetano,2016-03-20,14.0
Francis Escudero,2016-03-20,25.0
Gringo Honasan,2016-03-20,5.0
Bongbong Marcos,2016-03-20,25.0
Leni Robredo,2016-03-20,21.0
Antonio Trillanes,2016-03-20,4.0
Undecided/None,2016-03-20,5.0
Alan Peter Cayetano,2016-04-01,15.0
